  370,20130401,  118
  370,20130402,  122
  370,20130403,   18
  370,20130404,   26
  370,20130405,    0
  370,20130406,   21
  370,20130407,  120
  370,20130408,   34
  370,20130409,   17
  370,20130410,   40
  370,20130411,    8
  370,20130412,   34
  370,20130413,   39
  370,20130414,   62
  370,20130415,   40
  370,20130416,   30
  370,20130417,   43
  370,20130418,  117
  370,20130419,   37
  370,20130420,  132
  370,20130421,   52
  370,20130422,  120
  370,20130423,   30
  370,20130424,  117
  370,20130425,   67
  370,20130426,    5
  370,20130427,   70
  370,20130428,   92
  370,20130429,   47
  370,20130430,   75
